cora
ACC,   NMI,   ARI,   F1
77.47, 58.40, 56.36, 76.25
79.76, 60.94, 61.05, 77.91
76.44, 60.50, 57.99, 74.01
79.80, 60.80, 61.14, 77.93
77.92, 59.71, 57.99, 76.36
76.40, 59.86, 57.47, 74.23
77.70, 61.76, 60.29, 75.28
76.29, 60.43, 57.80, 73.85
78.80, 60.11, 59.64, 77.04
75.81, 57.77, 53.50, 75.07

77.64, 1.37
60.03, 1.13
58.32, 2.22
75.79, 1.46

ACC,   NMI,   ARI,   F1
cora
ACC,   NMI,   ARI,   F1
77.47, 58.40, 56.36, 76.25
cora
ACC,   NMI,   ARI,   F1
77.47, 58.40, 56.36, 76.25
cora
ACC,   NMI,   ARI,   F1
cora
ACC,   NMI,   ARI,   F1
cora
ACC,   NMI,   ARI,   F1
cora
ACC,   NMI,   ARI,   F1
77.47, 58.40, 56.36, 76.25
77.07, 60.25, 57.76, 75.50
75.70, 60.61, 56.22, 73.85
78.06, 59.89, 57.62, 76.81
77.92, 59.71, 57.99, 76.36
71.01, 56.18, 50.16, 70.45
77.73, 61.78, 60.40, 75.29
76.48, 60.58, 58.24, 73.96
78.88, 60.15, 59.82, 77.09
74.37, 60.05, 54.66, 72.41
76.47, 2.19
59.76, 1.44
56.92, 2.76
74.80, 2.02
cora
ACC,   NMI,   ARI,   F1
